region,short_name,long_name,nlon,nlat,ll_lon,ur_lon,ll_lat,ur_lat,dlon,dlat,pollon,pollat
1,SAM-11,South America,584,668,143.755,207.885,-38.445,34.925,0.11,0.11,-56.06,70.6
2,CAM-11,Central America,840,452,-52.965,39.325,-28.765,20.845,0.11,0.11,113.98,75.74
3,NAM-11,North America,620,520,-34.045,34.045,-28.565,28.525,0.11,0.11,83,42.5
4,EUR-11,Europe,424,412,-28.375,18.155,-23.375,21.835,0.11,0.11,-162,39.25
5,AFR-11,Africa,776,804,-24.805,60.445,-45.925,42.405,0.11,0.11,180,90
6,WAS-11,South Asia,772,520,-32.285,52.525,-21.725,35.365,0.11,0.11,-123.34,79.95
7,EAS-11,East Asia,812,668,-41.085,48.125,-27.005,46.365,0.11,0.11,-64.78,77.61
8,CAS-11,Central Asia,612,400,-34.485,32.725,-20.845,23.045,0.11,0.11,-103.39,43.48
9,AUS-11,Australasia,800,516,141.995,229.885,-23.045,33.605,0.11,0.11,141.38,60.31
10,ANT-11,Antarctica,500,388,152.555,207.445,-27.885,14.685,0.11,0.11,-166.92,6.08
11,ARC-11,Arctic,464,532,-23.045,27.885,-24.365,34.045,0.11,0.11,0,6.55
12,MED-11,Mediterranean,392,252,-23.385,19.625,-21.505,6.105,0.11,0.11,198,39.25
13,MNA-11,Middle East and North Africa,928,472,-26.565,75.405,-6.765,45.045,0.11,0.11,180,90
